qua.1	qua.5	qua.10	qua.20	qua.30	qua.40	qua.50	qua.60	qua.70	qua.80	qua.90	qua.95	qua.99
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.002	0.0	0.0
0.176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.061
0.0	0.0	0.0	0.0	0.387	0.447	0.468	0.249	0.203	0.013	0.0	0.0	0.028
0.0	0.489	0.512	0.332	0.149	0.056	0.0	0.0	0.021	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.345	0.543	0.337	0.224	0.096
0.0	0.23	0.273	0.268	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.32	0.551
0.314	0.0	0.0	0.0	0.07	0.0	0.093	0.357	0.0	0.0	0.122	0.0	0.0
0.169	0.179	0.156	0.34	0.372	0.038	0.257	0.0	0.285	0.277	0.384	0.25	0.171
0.341	0.018	0.055	0.0	0.0	0.281	0.177	0.394	0.146	0.0	0.081	0.19	0.093
0.0	0.084	0.003	0.06	0.022	0.028	0.005	0.0	0.0	0.159	0.074	0.0	0.0
