qua.1	qua.5	qua.10	qua.20	qua.30	qua.40	qua.50	qua.60	qua.70	qua.80	qua.90	qua.95	qua.99
0.0	0.243	0.291	0.548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.076
0.0	0.0	0.038	0.0	0.736	0.252	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.459	0.236	0.124	0.0	0.0	0.0	0.0	0.0	0.236	0.309	0.114	0.104	0.128
0.006	0.068	0.155	0.0	0.0	0.269	0.498	0.589	0.211	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.185	0.535	0.786	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.508	0.0
0.166	0.393	0.0	0.123	0.0	0.086	0.0	0.0	0.104	0.033	0.034	0.354	0.0
0.369	0.0	0.342	0.192	0.264	0.251	0.322	0.251	0.096	0.0	0.0	0.0	0.796
0.0	0.06	0.051	0.137	0.0	0.142	0.18	0.16	0.168	0.123	0.066	0.034	0.0
