qua.1	qua.5	qua.10	qua.20	qua.30	qua.40	qua.50	qua.60	qua.70	qua.80	qua.90	qua.95	qua.99
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.173	0.323	0.523	0.07	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.0
0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.067	0.06	0.05	0.013
0.329	0.059	0.0	0.0	0.406	0.432	0.527	0.511	0.851	0.626	0.0	0.0	0.122
0.31	0.0	0.105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.683	0.331	0.0
0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.148	0.498	0.607
0.307	0.352	0.206	0.163	0.223	0.164	0.227	0.134	0.0	0.103	0.0	0.071	0.0
0.0	0.047	0.36	0.237	0.11	0.254	0.033	0.176	0.0	0.0	0.0	0.0	0.229
0.054	0.0	0.0	0.076	0.192	0.151	0.213	0.179	0.149	0.204	0.051	0.049	0.029
