qua.1	qua.5	qua.10	qua.20	qua.30	qua.40	qua.50	qua.60	qua.70	qua.80	qua.90	qua.95	qua.99
0.0	0.0	0.0	0.116	0.0	0.0	0.0	0.0	0.0	0.0	0.212	0.017	0.0
0.147	0.208	0.383	0.195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.53	0.568	0.718	0.671	0.524	0.296	0.0	0.094	0.158
0.046	0.0	0.0	0.0	0.0	0.176	0.071	0.034	0.016	0.008	0.003	0.002	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.221	0.0
0.078	0.178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.411
0.289	0.148	0.112	0.426	0.307	0.098	0.134	0.0	0.32	0.04	0.0	0.416	0.0
0.158	0.214	0.383	0.082	0.0	0.009	0.0	0.182	0.0	0.424	0.693	0.136	0.432
0.04	0.252	0.122	0.181	0.164	0.149	0.077	0.113	0.14	0.232	0.092	0.114	0.0
