qua.1	qua.5	qua.10	qua.20	qua.30	qua.40	qua.50	qua.60	qua.70	qua.80	qua.90	qua.95	qua.99
0.0	0.0	0.0	0.0	0.373	0.452	0.0	0.0	0.0	0.0	0.0	0.0	0.065
0.305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.204	0.275	0.447	0.037	0.0	0.103	0.21	0.278	0.356	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.017	0.072	0.08	0.07	0.073	0.043	0.022	0.012	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.313	0.216	0.323	0.195	0.109	0.013	0.253
0.491	0.0	0.076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.468	0.776	0.299
0.0	0.134	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.551	0.254	0.284	0.116	0.127	0.069	0.304	0.089	0.172	0.039	0.0	0.325
0.041	0.0	0.302	0.27	0.398	0.235	0.169	0.0	0.0	0.0	0.056	0.0	0.024
0.163	0.111	0.093	0.0	0.059	0.115	0.25	0.2	0.238	0.234	0.304	0.198	0.033
