qua.1	qua.5	qua.10	qua.20	qua.30	qua.40	qua.50	qua.60	qua.70	qua.80	qua.90	qua.95	qua.99
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.019	0.192	0.295	0.41	0.293	0.624	0.429	0.417	0.493	0.0	0.0	0.0	0.0
0.0	0.441	0.329	0.22	0.112	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.01
0.0	0.0	0.0	0.0	0.0	0.0	0.109	0.266	0.342	0.059	0.0	0.0	0.0
0.082	0.126	0.128	0.0	0.0	0.0	0.0	0.237	0.0	0.453	0.603	0.0	0.0
0.0	0.0	0.0	0.087	0.308	0.0	0.025	0.0	0.057	0.0	0.0	0.541	0.0
0.646	0.126	0.248	0.198	0.106	0.18	0.298	0.025	0.0	0.092	0.037	0.083	0.0
0.194	0.092	0.0	0.0	0.0	0.0	0.0	0.0	0.041	0.078	0.197	0.299	0.805
0.0	0.024	0.0	0.086	0.181	0.196	0.138	0.054	0.064	0.318	0.163	0.076	0.186
