qua.1	qua.5	qua.10	qua.20	qua.30	qua.40	qua.50	qua.60	qua.70	qua.80	qua.90	qua.95	qua.99
0.0	0.0	0.0	0.0	0.021	0.102	0.216	0.0	0.0	0.0	0.0	0.0	0.0
0.095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.098	0.392	0.443	0.497	0.218	0.387	0.491	0.0	0.0	0.0	0.016
0.047	0.317	0.138	0.138	0.053	0.0	0.0	0.0	0.047	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.247	0.265	0.076	0.049	0.0
0.0	0.397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.382	0.647	0.0
0.316	0.0	0.264	0.0	0.0	0.061	0.309	0.112	0.0	0.0	0.0	0.0	0.752
0.154	0.046	0.0	0.221	0.157	0.0	0.0	0.0	0.104	0.273	0.103	0.185	0.0
0.206	0.064	0.198	0.053	0.195	0.236	0.223	0.203	0.022	0.034	0.21	0.0	0.13
0.182	0.176	0.302	0.196	0.132	0.103	0.034	0.108	0.089	0.348	0.228	0.119	0.102
